"name","nb_groupes"
inquisitorial tortures,1
insanity,1
caravane palace,1
instrumental doom,1
instrumental hip hop,1
instrumental jazz,1
intime,1
intimejazz,1
intolerance,1
iran,1
iranienne,1
isaac delusion,1
jam,1
jam band,1
jangle pop,1
cannibalism,1
jazz funk,1
canadian,1
thrash,1
jazz metal,1
jazz rap,1
californian,1
jazz-funk,1
jazz-funk-soul,1
jazz-rock,1
juliomagus legacy,1
julius evola,1
keep on jumping,1
kierkegaard's writings,1
cadence lypso,1
l'impératrice,1
laborit,1
lambada,1
lame,1
landscapes,1
adolescent nostalgia,1
latin jazz,1
le couteau suisse,1
left-hand path,1
legend,1
life,1
light,1
likedis,1
likedis auto,1
acoustic screamo,1
toy music,1
livetronica,1
cabaret,1
lo-fi hip hop,1
lo-folk n'roll,1
loic fleury,1
loneliness,1
longing,1
loop,1
loss,1
loud,1
lounge,1
love,1
lovecraft,1
low-fi,1
lucifer,1
luciferianism,1
lust,1
luxury,1
buccaneering,1
lyricist,1
toypop,1
magic,1
mankind,1
marseille,1
matahari,1
trance,1
buccaneer,1
mathcore,1
brutality,1
medieval black metal,1
medieval sagas,1
meditation,1
megadeth,1
transformation,1
brutal prog,1
melodic dark metal,1
brouillard,1
melodic hardcore,1
melodic progressive metal,1
melodic techno,1
mental torments,1
brittany,1
british,1
metalgaze,1
trash,1
tribal ambient,1
middle eastern rock,1
mind,1
mind terror,1
acid techno,1
breton legends,1
trip-hop,1
minimal wave,1
triphop,1
breton history,1
mithraism,1
modern classical,1
monarch,1
mooon,1
motorik,1
mountains,1
musique urbaine du dimanche,1
mutilation,1
bretagne,1
tropical,1
myths,1
nantes,1
nationalism,1
breizh,1
necro black metal,1
necromancy,1
tropical house,1
neo-classical,1
neo-medieval folk,1
neo-progressive rock,1
tunbalism,1
"10s",1
neoclassical dark wave,1
breakbeat,1
neoclassical metal,1
twats,1
ugly,1
bossa nova,1
bossa,1
night,1
nightmares,1
blur,1
no wave,1
bloodthirst,1
noise hardcore,1
noise metal,1
noise post hardcore,1
noise punk,1
blackened death metal,1
noise-rock,1
noisecore,1
nordic mythology,1
north france,1
nothingness,1
underground hip hop,1
novo dub,1
nsbm,1
blackend hardcore,1
black-metal / avantgarde,1
nu-disco,1
nu-metal,1
underground techno,1
zombies,1
urban decay,1
black-metal,1
black'n'roll,1
odyssée,1
black magic,1
black,1
old beliefs,1
old times,1
oppression,1
organic house,1
oriental rock,1
orthodox satanism,1
otherwordly,1
oye com va,1
beatdown hardcore,1
pagan events,1
pagan metal,1
battlefields,1
pain,1
parfum thérémine,1
bass,1
parodic,1
parolier,1
patchanka,1
peregrination,1
personal struggles,1
pessimism,1
baroque pop,1
philosphy,1
piano,1
piano duo,1
