idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation
CRS3035RES200mN2828400E4154600,80.64,17.3,3.22,89.1,47.29,0.0,0.0033653409382665336,0.0027481283,80.64,0.0,47.28,0.0,0.05,48.93,0.04521880640994751,0.0176431716,159.46,4.99,0.0,0.0,0.0,14.76,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,22.28,100.0,0,0.0322,0.0,0.0,0.0,0.0003,52.71,0.0,-1.0,-1.0,0.0012848127744415165,0.05,4.96,9.22,29.08,56.74,76.61,13.78,0
CRS3035RES200mN2828200E4154600,64.34,28.31,-1.0,68.92,39.63,0.0,0.002733352029671879,0.0022604459,64.34,0.0,23.85,33.88,0.21,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,31.08,100.0,0,0.0536,0.0,0.0,0.0,0.0003,60.37,0.0,-1.0,-1.0,3.6251022796714626e-05,0.0,4.76,9.52,28.57,57.14,34.65,5.85,0
CRS3035RES200mN2828000E4154600,44.17,21.11,-1.0,38.9,38.88,0.0,1.9749653393582942e-05,0.0014065315,44.17,0.0,33.51,5.39,0.21,0.0,0.014887288728082822,0.0146687022,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0003,61.12,0.0,-1.0,-1.0,1.2300338000333552e-05,0.0,0.0,14.29,28.57,57.14,0.0,3.05,0
CRS3035RES200mN2827800E4154600,62.33,74.74,-1.0,88.88,86.59,0.0,3.949930678716589e-06,0.0009017349,62.33,0.0,69.96,16.64,0.12,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,13.41,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.84,0
CRS3035RES200mN2827600E4154600,79.15,83.46,-1.0,100.0,19.97,0.0,0.0,0.0009017349,79.15,0.0,19.95,0.0,0.2,0.0,0.016032768624910633,0.0158424665,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,80.03,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.63,5.99,0
CRS3035RES200mN2827400E4154600,91.19,80.88,-1.0,79.01,30.55,0.0,1.1849792036149766e-05,0.0001931248,91.19,0.0,48.31,0.0,0.26,0.0,0.015973519664729884,0.0148910438,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,3.22,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,69.45,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,10.57,0
CRS3035RES200mN2827200E4154600,76.43,89.84,-1.0,100.0,8.72,0.0,0.0,0.0,76.43,0.0,8.71,0.0,0.1,0.0,0.0151440342221994,0.0139098079,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,91.28,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.02,4.34,0
CRS3035RES200mN2827000E4154600,89.6,84.56,-1.0,100.0,61.61,0.0,0.0,0.0,89.6,0.0,29.52,0.0,0.08,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,38.39,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.59,6.49,0
CRS3035RES200mN2826800E4154600,62.32,89.84,-1.0,100.0,35.46,0.0,0.0,0.0,62.32,0.0,0.0,0.0,0.05,0.0,0.012939972903475544,0.0131377511,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,64.54,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.41,3.33,0
CRS3035RES200mN2826600E4154600,59.65,77.85,-1.0,100.0,29.12,0.0,0.0,0.0,59.65,0.0,29.14,0.0,0.06,0.0,0.011616746126105486,0.0125624032,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,70.88,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.33,0
