idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation,sous_indic_access,ind_compose_marche,ind_compose_velos,ind_compose_bus,ind_compose_tram,ind_compose_vl,ind_compose_autopartage,ind_diversite_fonctionnelle,ind_schema_mobilite
CRS3035RES200mN2834000E4140000,0.36,0.26,-1.0,1.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,1.0,0.93,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.98,1.0,,0.27,0.322,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4140000,0.72,0.21,-1.0,1.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.62,0.77,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.95,1.0,,0.322,0.232,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833600E4140000,0.52,0.13,-1.0,0.35,0.0,0.0,0.0,0.01,0.52,0.0,0.0,0.81,0.87,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.97,1.0,,0.167,0.281,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833400E4140000,0.54,0.37,-1.0,1.0,0.0,0.0,0.0,0.03,0.54,0.0,0.0,1.0,0.82,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.97,1.0,,0.321,0.304,0.0,0.0,0.5,0.418,0.0,0.0
CRS3035RES200mN2833200E4140000,0.53,0.48,-1.0,0.0,0.0,0.0,0.0,0.03,0.53,0.0,0.0,1.0,1.0,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.97,1.0,,0.171,0.334,0.0,0.0,0.5,0.418,0.0,0.0
CRS3035RES200mN2834600E4140200,0.6,0.24,-1.0,0.66,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.34,0.96,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.96,1.0,,0.25,0.218,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834400E4140200,0.19,0.35,-1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.0,0.94,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.84,0.99,1.0,,0.257,0.324,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834200E4140200,0.48,0.12,-1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,1.0,0.96,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.99,0.97,1.0,,0.267,0.327,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834000E4140200,0.54,0.12,-1.0,1.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,1.0,0.98,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.96,1.0,,0.277,0.331,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4140200,0.47,0.13,-1.0,1.0,0.0,0.0,0.0,0.01,0.47,0.0,0.0,0.41,0.81,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.97,1.0,,0.268,0.204,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833600E4140200,0.55,0.08,-1.0,0.55,0.0,0.0,0.0,0.03,0.55,0.0,0.0,0.55,0.9,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.98,0.97,1.0,,0.199,0.243,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833400E4140200,0.72,0.18,0.91,1.0,0.05,0.0,0.0,0.03,0.72,0.0,0.05,1.0,0.97,0.13,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,0.95,0.0,-1.0,-1.0,0.0,0.22,0.13,0.0,0.07,0.87,0.98,0.95,1.0,,0.411,0.359,0.0,0.0,0.5,0.405,0.11,0.13
CRS3035RES200mN2833200E4140200,0.83,0.24,0.9,0.49,0.0,0.0,0.0,0.03,0.83,0.0,0.0,1.0,0.97,0.26,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.99,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,0.0,-1.0,-1.0,0.0,0.08,0.09,0.05,0.05,0.86,0.99,0.93,1.0,,0.354,0.372,0.0,0.0,0.498,0.418,0.04,0.14
CRS3035RES200mN2834600E4140400,0.64,0.11,-1.0,0.87,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.58,0.93,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,0.96,1.0,,0.27,0.252,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834400E4140400,0.3,0.29,-1.0,0.17,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.92,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.57,0.98,1.0,,0.127,0.321,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834200E4140400,0.34,0.27,-1.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.0,0.98,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42,0.98,1.0,,0.102,0.331,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834000E4140400,0.56,0.44,-1.0,0.51,0.0,0.0,0.0,0.01,0.56,0.0,0.0,1.0,0.99,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.45,0.96,1.0,,0.252,0.332,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4140400,0.49,0.36,-1.0,0.38,0.0,0.0,0.0,0.03,0.49,0.0,0.0,1.0,0.84,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.52,0.97,1.0,,0.208,0.307,0.0,0.0,0.75,0.418,-1.0,-1.0
